URL,Title,Author,,
https://mc-store.com/products/java-application-strategies-for-iseries-and-as-400,Java Application Strategies for iSeries and AS/400,Don Denoncourt,,
https://mc-store.com/products/java-for-rpg-programmers,Java for RPG Programmers,Phil Coulthard and George Farr,,
https://mc-store.com/products/javascript-for-the-business-developer,JavaScript for the Business Developer,Mike Faust,,
https://mc-store.com/products/leadership-in-my-rearview-mirror,Leadership in My Rearview Mirror,Jack Beach,,
https://mc-store.com/products/managing-without-walls,Managing Without Walls,Colleen Garton and Kevin Wegryn,,
https://mc-store.com/products/mastering-ibm-i,Mastering IBM i,Jim Buck and Jerry Fottral,,
https://mc-store.com/products/mastering-ibm-i-security,Mastering IBM i Security,Carol Woodbury,,
https://mc-store.com/products/mastering-the-as-400,Mastering the AS/400,Jerry Fottral,,
https://mc-store.com/products/mdm-for-customer-data,MDM for Customer Data,Kelvin K. A. Looi,,
https://mc-store.com/products/open-query-file-magic,Open Query File Magic,Ted Holt,,
https://mc-store.com/products/open-source-starter-guide-for-ibm-i-developers,Open Source Starter Guide for IBM i Developers,Pete Helgren,,
https://mc-store.com/products/programming-in-ile-rpg-fifth-edition,"Programming in ILE RPG, Fifth Edition",Bryan Meyers and Jim Buck,,
https://mc-store.com/products/programming-in-rpg-iv,Programming in RPG IV,Bryan Meyers and Jim Buck,,
https://mc-store.com/products/programming-portlets,Programming Portlets,"Ron Lynn, Joey Bernal, Peter Blinstrubas, Usman Memon, Cayce Marston, Tim Hanis, Varadarajan (Varad) Ramamoorthy, and Stefan Hepper",,
https://mc-store.com/products/qshell-for-iseries,Qshell for iSeries,Ted Holt and Fred A. Kulack,,
https://mc-store.com/products/quickstart-guide-to-db2-development-with-python,QuickStart Guide to Db2 Development with Python,Roger E. Sanders,,
https://mc-store.com/products/rpg-tnt,RPG TnT,Bob Cozzi,,
https://mc-store.com/products/selling-information-governance-to-the-business,Selling Information Governance to the Business,Sunil Soares,,
https://mc-store.com/products/soa-for-the-business-developer,SOA for the Business Developer,Ben Margolis,,
https://mc-store.com/products/sql-built-in-functions-and-stored-procedures,SQL Built-In Functions and Stored Procedures,Mike Faust,,
https://mc-store.com/products/sql-for-eserver-i5-and-iseries,SQL for eServer i5 and iSeries,Kevin Forsythe,,
https://mc-store.com/products/sql-for-ibm-i-a-database-modernization-guide,SQL for IBM i: A Database Modernization Guide,Rafael Victoria-Pereira,,
https://mc-store.com/products/subfiles-in-free-format-rpg,Subfiles in Free-Format RPG,Kevin Vandever,,
https://mc-store.com/products/system-i-disaster-recovery-planning,System i Disaster Recovery Planning,Richard Dolewski,,
https://mc-store.com/products/template,Template,MC Press Bookstore,,
https://mc-store.com/products/the-business-value-of-db2-for-z-os,The Business Value of DB2 for z/OS,"John Campbell, Namik Hrle, Ruiping Li, Surekha Parekh, and Terry Purcell",,
https://mc-store.com/products/the-chief-data-officer-handbook-for-data-governance,The Chief Data Officer Handbook for Data Governance,Sunil Soares,,
https://mc-store.com/products/the-ibm-data-governance-unified-process,The IBM Data Governance Unified Process,Sunil Soares,,
https://mc-store.com/products/the-ibm-i-programmers-guide-to-php,The IBM i Programmer's Guide to PHP,Jeff Olen and Kevin Schroeder,,
https://mc-store.com/products/the-lakehouse-effect-a-new-era-for-data-insights-and-ai,The Lakehouse Effect - A New Era for Data Insights and AI,"Steven Astorino, Mark Simmonds, Roger Sanders",,
https://mc-store.com/products/the-mc-press-desktop-encyclopedia-of-tips-techniques-and-programming-practices-for-iseries-and-as-400,"The MC Press Desktop Encyclopedia of Tips, Techniques, and Programming Practices for iSeries and AS/400",Ted Holt and Shannon O'Donnell,,
https://mc-store.com/products/the-modern-rpg-iv-language,The Modern RPG IV Language,Bob Cozzi,,
https://mc-store.com/products/the-programmers-guide-to-iseries-navigator,The Programmer's Guide to iSeries Navigator,Paul Tuohy,,
https://mc-store.com/products/the-remote-system-explorer,The Remote System Explorer,Don Yantzi and Nazmin Haji,,
https://mc-store.com/products/wdsc-step-by-step,WDSC: Step by Step,Joe Pluta,,
https://mc-store.com/products/websphere-application-server-step-by-step,WebSphere Application Server: Step by Step,"Rama Turaga, Owen Cline, and Peter Van Sickel",,
https://mc-store.com/products/you-want-to-do-what-with-php,You Want to Do What with PHP?,Kevin Schroeder,,
